Id,CreatedById,CreatedDate,LastModifiedById,LastModifiedDate,IsArchived,ArchivedById,ArchivedDate,IsDeleted,OwnerId,SystemModstamp,Title,PublishStatus,LatestPublishedVersionId,ParentId,LastViewedDate,LastReferencedDate,Description,ContentSize,FileType,FileExtension,SharingOption,SharingPrivacy,ContentModifiedDate,ContentAssetId
069dM000006ccwBQAQ,005dM000004WE3FQAW,2024-09-16T10:26:08Z,005dM000004WE3FQAW,2024-09-16T10:26:08Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:26:08Z,Properti__c_Backup_2024-09-16.csv,R,068dM000004lw7DQAQ,,,,,317,CSV,csv,A,N,2024-09-16T10:26:08Z,
069dM000006ccwrQAA,005dM000004WE3FQAW,2024-09-16T09:55:05Z,005dM000004WE3FQAW,2024-09-16T09:55:05Z,False,,,False,005dM000004WE3FQAW,2024-09-16T09:55:05Z,ActivePermSetLicenseMetric_Backup_2024-09-16.csv,R,068dM000004lw7tQAA,,,,,36007,CSV,csv,A,N,2024-09-16T09:55:05Z,
069dM000006cdBQQAY,005dM000004WE3FQAW,2024-09-16T10:10:57Z,005dM000004WE3FQAW,2024-09-16T10:10:57Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:10:57Z,DuplicateRule_Backup_2024-09-16.csv,R,068dM000004lwFzQAI,,,,,623,CSV,csv,A,N,2024-09-16T10:10:57Z,
069dM000006cdJRQAY,005dM000004WE3FQAW,2024-09-16T09:59:25Z,005dM000004WE3FQAW,2024-09-16T09:59:25Z,False,,,False,005dM000004WE3FQAW,2024-09-16T09:59:25Z,ActiveFeatureLicenseMetric_Backup_2024-09-16.csv,R,068dM000004lwSrQAI,,,,,8784,CSV,csv,A,N,2024-09-16T09:59:25Z,
069dM000006cdOHQAY,005dM000004WE3FQAW,2024-09-16T09:59:29Z,005dM000004WE3FQAW,2024-09-16T09:59:29Z,False,,,False,005dM000004WE3FQAW,2024-09-16T09:59:30Z,ActivePermSetLicenseMetric_Backup_2024-09-16.csv,R,068dM000004lwUTQAY,,,,,36007,CSV,csv,A,N,2024-09-16T09:59:29Z,
069dM000006cdPtQAI,005dM000004WE3FQAW,2024-09-16T09:59:33Z,005dM000004WE3FQAW,2024-09-16T09:59:33Z,False,,,False,005dM000004WE3FQAW,2024-09-16T09:59:33Z,ActiveProfileMetric_Backup_2024-09-16.csv,R,068dM000004lwW5QAI,,,,,28038,CSV,csv,A,N,2024-09-16T09:59:33Z,
069dM000006cdhdQAA,005dM000004WE3FQAW,2024-09-16T10:00:51Z,005dM000004WE3FQAW,2024-09-16T10:00:51Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:00:51Z,AppDefinition_Backup_2024-09-16.csv,R,068dM000004lwkbQAA,,,,,5455,CSV,csv,A,N,2024-09-16T10:00:51Z,
069dM000006cdjFQAQ,005dM000004WE3FQAW,2024-09-16T10:00:54Z,005dM000004WE3FQAW,2024-09-16T10:00:54Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:00:54Z,AppMenuItem_Backup_2024-09-16.csv,R,068dM000004lwmDQAQ,,,,,17798,CSV,csv,A,N,2024-09-16T10:00:54Z,
069dM000006cdjGQAQ,005dM000004WE3FQAW,2024-09-16T10:30:40Z,005dM000004WE3FQAW,2024-09-16T10:30:40Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:30:40Z,Translation_Backup_2024-09-16.csv,R,068dM000004lwmEQAQ,,,,,1238,CSV,csv,A,N,2024-09-16T10:30:40Z,
069dM000006cdmTQAQ,005dM000004WE3FQAW,2024-09-16T10:01:19Z,005dM000004WE3FQAW,2024-09-16T10:01:19Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:01:19Z,AssignmentRule_Backup_2024-09-16.csv,R,068dM000004lwuHQAQ,,,,,336,CSV,csv,A,N,2024-09-16T10:01:19Z,
069dM000006cdsvQAA,005dM000004WE3FQAW,2024-09-16T10:01:41Z,005dM000004WE3FQAW,2024-09-16T10:01:41Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:01:41Z,AuraDefinition_Backup_2024-09-16.csv,R,068dM000004lwvtQAA,,,,,12863,CSV,csv,A,N,2024-09-16T10:01:41Z,
069dM000006cdw9QAA,005dM000004WE3FQAW,2024-09-16T10:01:56Z,005dM000004WE3FQAW,2024-09-16T10:01:56Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:01:57Z,AuraDefinitionInfo_Backup_2024-09-16.csv,R,068dM000004lwz7QAA,,,,,6427,CSV,csv,A,N,2024-09-16T10:01:56Z,
069dM000006cdwAQAQ,005dM000004WE3FQAW,2024-09-16T10:02:13Z,005dM000004WE3FQAW,2024-09-16T10:02:13Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:02:13Z,AuthSession_Backup_2024-09-16.csv,R,068dM000004lwz8QAA,,,,,1080,CSV,csv,A,N,2024-09-16T10:02:13Z,
069dM000006ce7UQAQ,005dM000004WE3FQAW,2024-09-16T10:15:15Z,005dM000004WE3FQAW,2024-09-16T10:15:15Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:15:15Z,FlowRecord_Backup_2024-09-16.csv,R,068dM000004lx7DQAQ,,,,,5244,CSV,csv,A,N,2024-09-16T10:15:15Z,
069dM000006ceIkQAI,005dM000004WE3FQAW,2024-09-16T10:08:46Z,005dM000004WE3FQAW,2024-09-16T10:08:46Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:08:46Z,CronTrigger_Backup_2024-09-16.csv,R,068dM000004lxIUQAY,,,,,371,CSV,csv,A,N,2024-09-16T10:08:46Z,
069dM000006ceIlQAI,005dM000004WE3FQAW,2024-09-16T10:17:47Z,005dM000004WE3FQAW,2024-09-16T10:17:47Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:17:47Z,LightningUsageByBrowserMetrics_Backup_2024-09-16.csv,R,068dM000004lxIVQAY,,,,,19949,CSV,csv,A,N,2024-09-16T10:17:47Z,
069dM000006ceLxQAI,005dM000004WE3FQAW,2024-09-16T10:04:08Z,005dM000004WE3FQAW,2024-09-16T10:04:08Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:04:08Z,Calendar_Backup_2024-09-16.csv,R,068dM000004lxVNQAY,,,,,2151,CSV,csv,A,N,2024-09-16T10:04:08Z,
