Id,Name,DeveloperName,NamespacePrefix,SobjectType,IsSoqlCompatible,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate
00BdM000009ePuwUAE,Recently Viewed Contact Requests,My_RecentContactRequests,,ContactRequest,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4JEUAY,All,AllContactSharing,,,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009f4KCUAY,Owned by Me,OwnedContentDocuments,,ContentDocument,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,1720696112000.0,1720696112000.0
00BdM000009f4KDUAY,Recent,RecentlyViewedContentDocuments,,ContentDocument,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,1720696112000.0,1720696112000.0
00BdM000009f4KEUAY,Following,FollowedContentDocuments,,ContentDocument,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,1720696112000.0,1720696112000.0
00BdM000009f4KFUAY,Shared with Me,SharedWithMeContentDocuments,,ContentDocument,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,1720696112000.0,1720696112000.0
00BdM000009f4K9UAI,My Notes,OwnedContentNote,,ContentNote,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009f4KAUAY,Shared with Me,SharedWithMeContentNote,,ContentNote,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009ePu6UAE,All Coupons,ALL_Coupons,,Coupon,True,1720590630000,005dM000004WWvLQAW,1720590630000,005dM000004WWvLQAW,1720590630000,,
00BdM000009ePuoUAE,All,All,,CredentialStuffingEventStore,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HRUAY,All Credit Memos,All,,CreditMemo,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HSUAY,My Credit Memos,mine,,CreditMemo,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4HJUAY,All Crises,AllCrises,,Crisis,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009f4K2UAI,All,AllCustShareDetails,,,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
