Id,Action,Section,CreatedDate,CreatedById,Display,DelegateUser,ResponsibleNamespacePrefix,CreatedByContext,CreatedByIssuer
0YmdM00000490umSAA,createdCustEntTab,Custom Tabs,1720605237000,005dM000004WE3FQAW,Created custom object tab: Favorites,,,,
0YmdM00000493zaSAA,createdCustEnt,Custom Objects,1720605210000,005dM000004WE3FQAW,Created custom object: Favorite,,,,
0YmdM00000497I6SAI,createdCFCustom,Custom Objects,1720604473000,005dM000004WE3FQAW,Created custom field Offer Amount (Currency) on Offers,,,,
0YmdM00000497I7SAI,custentlayout,Custom Objects,1720604473000,005dM000004WE3FQAW,Changed Offer page layout Offer Layout,,,,
0YmdM00000497paSAA,createdCFCustom,Custom Objects,1720604511000,005dM000004WE3FQAW,Created custom field Target Close Date (Date) on Offers,,,,
0YmdM00000497pbSAA,custentlayout,Custom Objects,1720604511000,005dM000004WE3FQAW,Changed Offer page layout Offer Layout,,,,
0YmdM0000049BOjSAM,createdCFLookupCustom,Custom Objects,1720605399000,005dM000004WE3FQAW,Created custom lookup relationship Contact (Contact) on Favorites,,,,
0YmdM0000049BOkSAM,custentlayout,Custom Objects,1720605399000,005dM000004WE3FQAW,Changed Favorite page layout Favorite Layout,,,,
0YmdM0000049CvmSAE,createdCFLookupCustom,Custom Objects,1720606629000,005dM000004WE3FQAW,Created custom lookup relationship Contact (Contact) on Offers,,,,
0YmdM0000049CvnSAE,custentlayout,Custom Objects,1720606629000,005dM000004WE3FQAW,Changed Offer page layout Offer Layout,,,,
0YmdM0000049IlKSAU,createdCFCustom,Custom Objects,1720607713000,005dM000004WE3FQAW,Created custom field Street Address (Text Area) on Properties,,,,
0YmdM000004CB9ASAW,createdTabSet,Custom Apps,1720681458000,005dM000004WE3FQAW,Created custom app Energy Consultations,,,,
0YmdM000004CGwmSAG,createdCFLookupCustom,Custom Objects,1720676496000,005dM000004WE3FQAW,Created custom lookup relationship Account (Account) on Energy Audits,,,,
0YmdM000004CGwnSAG,custentlayout,Custom Objects,1720676496000,005dM000004WE3FQAW,Changed Energy Audit page layout Energy Audit Layout,,,,
0YmdM000004CMaZSAW,createdCFCustom,Custom Objects,1720676326000,005dM000004WE3FQAW,Created custom field Type of Installation (Picklist) on Energy Audits,,,,
0YmdM000004CMaaSAG,custentlayout,Custom Objects,1720676326000,005dM000004WE3FQAW,Changed Energy Audit page layout Energy Audit Layout,,,,
0YmdM000004COOoSAO,createdCFCustom,Custom Objects,1720676626000,005dM000004WE3FQAW,Created custom field Annual Energy Usage (kWh) (Number) on Energy Audits,,,,
0YmdM000004COOpSAO,custentlayout,Custom Objects,1720676626000,005dM000004WE3FQAW,Changed Energy Audit page layout Energy Audit Layout,,,,
0YmdM000004COPiSAO,feed_entity_tracked,Feed Tracking,1720677507000,005dM000004WE3FQAW,Feed Tracking for Energy Audit on,,,,
0YmdM000004COPjSAO,feed_field_tracked,Feed Tracking,1720677507000,005dM000004WE3FQAW,Feed Tracking for Energy Audit field Account on,,,,
0YmdM000004COPkSAO,feed_field_tracked,Feed Tracking,1720677507000,005dM000004WE3FQAW,Feed Tracking for Energy Audit field Annual Energy Usage (kWh) on,,,,
0YmdM000004COPlSAO,feed_field_tracked,Feed Tracking,1720677507000,005dM000004WE3FQAW,Feed Tracking for Energy Audit field Audit Notes on,,,,
0YmdM000004COPmSAO,feed_field_tracked,Feed Tracking,1720677507000,005dM000004WE3FQAW,Feed Tracking for Energy Audit field Average Annual Electric Cost on,,,,
0YmdM000004COPnSAO,feed_field_tracked,Feed Tracking,1720677507000,005dM000004WE3FQAW,Feed Tracking for Energy Audit field Energy Audit Name on,,,,
0YmdM000004COPoSAO,feed_field_tracked,Feed Tracking,1720677507000,005dM000004WE3FQAW,Feed Tracking for Energy Audit field Type of Installation on,,,,
0YmdM000004COivSAG,createdCustEntTab,Custom Tabs,1720675950000,005dM000004WE3FQAW,Created custom object tab: Energy Audits,,,,
0YmdM000004CP2KSAW,createdCustEnt,Custom Objects,1720675700000,005dM000004WE3FQAW,Created custom object: Energy Audit,,,,
0YmdM000004CSsmSAG,createdCFCustom,Custom Objects,1720676563000,005dM000004WE3FQAW,Created custom field Average Annual Electric Cost (Currency) on Energy Audits,,,,
0YmdM000004CSsnSAG,custentlayout,Custom Objects,1720676563000,005dM000004WE3FQAW,Changed Energy Audit page layout Energy Audit Layout,,,,
0YmdM000004CUL2SAO,createdCFCustom,Custom Objects,1720676673000,005dM000004WE3FQAW,Created custom field Audit Notes (Long Text Area) on Energy Audits,,,,
0YmdM000004CUL3SAO,custentlayout,Custom Objects,1720676673000,005dM000004WE3FQAW,Changed Energy Audit page layout Energy Audit Layout,,,,
0YmdM000004DNhISAW,createdFlexiPage,Lightning Pages,1720681457000,005dM000004WE3FQAW,Created Lightning Page: Energy Consultations UtilityBar,,,,
0YmdM000004Ej9pSAC,updatedDefaultCompactLayoutMapping,Custom Objects,1720688865000,005dM000004WE3FQAW,Energy Audit primary Compact Layout was changed from System Default to Energy Audit Compact Layout,,,,
0YmdM000004Em5vSAC,updatedDefaultCompactLayoutMapping,Customize Opportunities,1720689035000,005dM000004WE3FQAW,Opportunity primary Compact Layout was changed from System Default to New Oppty Compact Layout,,,,
0YmdM000004EnGOSA0,createdCompactLayout,Customize Opportunities,1720689024000,005dM000004WE3FQAW,Created Compact Layout New_Oppty_Compact_Layout on Opportunity,,,,
0YmdM000004EoVhSAK,createdCompactLayout,Custom Objects,1720688826000,005dM000004WE3FQAW,Created Compact Layout Energy_Audit_Compact_Layout on Energy Audit,,,,
0YmdM000004EqqySAC,createdFlexiPage,Lightning Pages,1720690758000,005dM000004WE3FQAW,Created Lightning Page: Energy Audit Record Page for Sales,,,,
0YmdM000004Es6iSAC,custentlayout,Custom Objects,1720691412000,005dM000004WE3FQAW,Changed Energy Audit page layout Energy Audit Layout,,,,
0YmdM000004Eui2SAC,createdActionOverride,Customize Contacts,1720692922000,005dM000004WE3FQAW,Added standard button override: View (Lightning Page null),,,,
0YmdM000004Ew27SAC,contactlayout,Customize Contacts,1720692587000,005dM000004WE3FQAW,Changed Contact page layout Contact Layout,,,,
0YmdM000004F1CqSAK,createdActionOverride,Customize Contacts,1720692922000,005dM000004WE3FQAW,Added standard button override: View (Lightning Page null),,,,
0YmdM000004F1eDSAS,createdFlexiPage,Lightning Pages,1720692894000,005dM000004WE3FQAW,Created Lightning Page: Contact Record Page,,,,
0YmdM000004FINZSA4,accountlayout,Customize Accounts,1720700242000,005dM000004WE3FQAW,Changed Account page layout Account (Marketing) Layout,,,,
0YmdM000004FINaSAO,accountlayout,Customize Accounts,1720700242000,005dM000004WE3FQAW,Changed Account page layout Account (Sales) Layout,,,,
0YmdM000004FINbSAO,accountlayout,Customize Accounts,1720700242000,005dM000004WE3FQAW,Changed Account page layout Account (Support) Layout,,,,
0YmdM000004FINcSAO,accountlayout,Customize Accounts,1720700242000,005dM000004WE3FQAW,Changed Account page layout Account Layout,,,,
0YmdM000004FIp4SAG,createdCustLink,Customize Accounts,1720700545000,005dM000004WE3FQAW,Created custom button or link: Google_This_Account (Detail Page Link),,,,
0YmdM000004FIp7SAG,accountlayout,Customize Accounts,1720701273000,005dM000004WE3FQAW,Changed Account page layout Account Layout,,,,
0YmdM000004FJrPSAW,accountlayout,Customize Accounts,1720700940000,005dM000004WE3FQAW,Changed Account page layout Account Layout,,,,
0YmdM000004FLErSAO,createdCustLink,Customize Accounts,1720701150000,005dM000004WE3FQAW,Created custom button or link: Map_Location (Detail Page Button),,,,
0YmdM000004FNBmSAO,createdCustLinkCustom,Custom Objects,1720699984000,005dM000004WE3FQAW,Created custom button or link on Energy Audits: Audit_Guidelines (Detail Page Link),,,,
0YmdM000004FRVYSA4,custentlayout,Custom Objects,1720702054000,005dM000004WE3FQAW,Changed Energy Audit page layout Energy Audit Layout,,,,
0YmdM000004FRyVSAW,accountlayout,Customize Accounts,1720702480000,005dM000004WE3FQAW,Changed Account page layout Account Layout,,,,
0YmdM000004Hed8SAC,changedQuickActionLayoutGlobal,Global Actions,1720766487000,005dM000004WE3FQAW,Changed Action Layout for action: New Campaign,,,,
0YmdM000004ID5ASAW,contactlayout,Customize Contacts,1720762380000,005dM000004WE3FQAW,Changed Contact page layout Contact Layout,,,,
