Id,DurableId,FunctionId,Type
000000000000000AAA,LOYALTYFORMULA-CEILING,CEILING,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-CONTAINS,CONTAINS,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-COS,COS,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-DATE,DATE,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-DATETIMEVALUE,DATETIMEVALUE,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-DATEVALUE,DATEVALUE,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-DAY,DAY,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-DISTANCE,DISTANCE,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-EXP,EXP,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-FIND,FIND,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-FLOOR,FLOOR,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-HOUR,HOUR,LOYALTYFORMULA
000000000000000AAA,LOYALTYFORMULA-IF,IF,LOYALTYFORMULA
